decade,score,halfcentury,year,number,author,title,generic subtitle,subtitle1,subtitle2,nouvelle,source,exclusion,words,mode,temporality I,temporality II,characters (RW),truth(RW),truth place,person,1st person type,inset,1st-person insets?,titled insets?,# 1P insets,pages 1P insets,# 3P insets,pages 3P insets,pages total,segmentation,numb. Segs.,(1) authorial,(2) sententious,(3) character description,(4) location/period description,(5) Action,(5s) speech type,order 1,count
1790s,1781-1800,1751-1800,1799,39,an,Zphirin ,Conte qui nÕen est pas un,conte,conte,0,Googlebooks,0,12,rw,con,,nobodies,fact,sub,1,mem,0,,,,,,,,0,,,,,,,,,1
1810s,1801-1820,1801-1850,1818,18a,Anon [Prin],"Contes gothiques 1: Ervina, ou La Magie, La Nature, et LÕAmour",contes gothiques,conte,conte,0,Gallica,0,32,rw,con,,nobodies,fict,sub,3,,0,,,,,,,,0,,N,N,N,Y,action,,"4,5",1
1810s,1801-1820,1801-1850,1818,18b,Anon [Prin],"Contes gothiques 1: Eric, ou lÕEnfant du dsert",contes gothiques,conte,conte,0,Gallica,0,28,rw,con,,nobodies,fict,sub,3,,0,,,,,,,,0,,N,N,N,N,scene,,5,1
1730s,1721-1740,1701-1750,1738,5,An,La princesse laponaise,histoire galante et littraire,histoire,histoire_galante,0,BNF Arsenal,0,23,mar,,,,,,3,,i4,y,,,,,,,parties,2,,,,,,,,1
1660s,1661-1680,1651-1700,1665,9,Le Pays,Zlotyde,histoire galante,histoire,histoire_galante,0,Googlebooks,0,18,rw,con,,nobodies,fact,post,3,,0,,,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1678,55,Prechac,L'Ambitieuse Grenadine,histoire galante,histoire,histoire_galante,0,Googlebooks,0,11,rw,uns,,nobodies,ind,,3,,0,,,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1679,45,Prechac,La Noble vnitienne,histoire galante,histoire,histoire_galante,0,Googlebooks,0,11,rw,con,,nobodies,fact,incipit,1,obs,0,,,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1679,47,Prechac,Le Triomphe de l'Amiti,histoire galante,histoire,histoire_galante,0,Googlebooks,0,14,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,,,,,,,,,,1
1690s,1681-1700,1651-1700,1696,30,Sandras de Courtilz,Le Grand Alcandre frustr,histoire galante,histoire,histoire_galante,0,BNF Arsenal,0,32,rw,con,,somebodies,,,3,,0,,,,,,,,,,,,,,,,,1
1690s,1681-1700,1651-1700,1698,10,An,Les soeurs rivales,histoire galante,histoire,histoire_galante,0,BNF Arsenal,0,29,rw,con,,nobodies,fact,"sub, pref",3,,i4,y,n,,,,,,0,,,,,,,,,1
1690s,1681-1700,1651-1700,1700,8,An,La nouvelle Talestris,histoire galante,histoire,histoire_galante,0,BNF Arsenal,0,25,rw,con,,nobodies,fact,"sub, pref",3,,i4,y,y,,,,,,parties,2,,,,,,,,1
1700s,1701-1720,1701-1750,1709,2,An,Les Aventures et amours d'Ulisse avec la deesse Calypso,histoire galante,histoire,histoire_galante,0,BNF Arsenal,0,35,rw,his,literary,somebodies,,,3,,i4,y,,,,,,,0,,N,N,N,N,action,,5,1
1710s,1721-1740,1701-1750,1720,1,An,"La Beaut triomphante, ou les caprices de la fortune",histoire galante,histoire,histoire_galante,0,BNF Arsenal,0,80,rw,con,,nobodies,fact,incipit,1,obs,i1,y,,,,,,,parties,2,,,,,,,,1
1750s,1741-1760,1751-1800,1756,2,An,Le frre questeur,histoire galante crite par lui-mme,histoire,histoire_galante,0,Googlebooks,0,11,rw,con,,nobodies,fict,"mis, pref",1,mem,0,,,,,,,,0,,,,,,,,,1
1770s,1761-1780,1751-1800,1777,3,An,Le monialisme,histoire galante crite par une ex-religieuse de l'abbaye o se sont passes les avantures,histoire,histoire_galante,0,Googlebooks,0,61,rw,con,,nobodies,fact,"title, pref",1,narr,i4,n,,,,,,,0,,,,,,,,,1
1690s,1681-1700,1651-1700,1698,4,An,"L'Ecole des maris jaloux, ou les fureurs de l'amour jaloux",histoire galante et tragique,histoire,histoire_galante,0,BNF Arsenal,0,31,rw,con,,nobodies,fact,"sub, pref",3,,0,,,,,,,,0,,,,,,,,,1
1670s,1661-1680,1651-1700,1679,44,Prechac,L'illustre parisienne,histoire galante et vritable,histoire,histoire_galante,0,Gallica,0,26,rw,con,,nobodies,fact,"sub, pref, incipit",3,,0,,,,,,,,,,,,,,,,,1
1690s,1681-1700,1651-1700,1697,5,An,La religieuse esclave et mousquetaire,histoire galante et vritable,histoire,histoire_galante,0,BNF Arsenal,0,17,rw,con,,keyed nobodies,keyed,pref,3,,i4,y,n,,,,,,0,,,,,,,,,1
1710s,1721-1740,1701-1750,1720,5,Bruet de Brou,La Religieuse malgr elle,"histoire galante, morale, et tragique",histoire,histoire_galante,0,Googlebooks,0,26,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,parties,2,N,Y,N,N,action,,"2,5",1
1760s,1761-1780,1751-1800,1769,24,Champigny,Mmoires de Miss Fanny Palmer,"histoire galante, politique & morale",histoire,histoire_galante,0,ECCO,0,132,rw,con,,nobodies,fict,"mis, pref",1,mem,i4,y,,,,,,,parties,3,,,,,,,,1
1660s,1661-1680,1651-1700,1661,7,Boucher,Le Roman des oiseaux,histoire allgorique,histoire,histoire_other,0,Gallica,0,15,al,,,keyed nobodies,keyed,"sub, pref",3,,i3,n,y,,,,,,,,,,,,,,,1
1780s,1781-1800,1751-1800,1789,98,Rosny,Ulamor et Feltidie,histoire allgorique,histoire,histoire_other,0,ECCO,0,28,al,,,,,,3,,0,,,,,,,,0,,,,,,,,,1
1740s,1741-1760,1701-1750,1749,18,Bret,Le *** ,histoire bavarde,histoire,histoire_other,0,Googlebooks,0,13,mar,,,,,,3,,i5,n,,,,,,,chaps o,8,,,,,,,,1
1740s,1741-1760,1701-1750,1749,33,Palissot de Monenoy,Zlinga,histoire chinoise,histoire,histoire_other,0,Googlebooks,0,12,mar,,,,,,3,,0,,,,,,,,chaps t,5,,,,,,,,1
1760s,1761-1780,1751-1800,1768,23,Coyer,Chinki,histoire cochinchinoise,histoire,histoire_other,0,Googlebooks,0,17,mar,,,,,,3,,0,,,,,,,,chaps d,23,,,,,,,,1
1780s,1781-1800,1751-1800,1788,36,Bricaire de la Dixmerie,"Le gant Isoire, sire de Mont-Souris",histoire gauloise,histoire,histoire_other,0,Gallica,0,50,mar,,,,paro,,3,,0,,,,,,,,livres,9,,,,,,,,1
1740s,1741-1760,1701-1750,1748,7,Beauchamps,Aihcrappih,histoire grecque,histoire,histoire_other,0,Googlebooks,0,15,mar,,,,paro,key,1,mem,0,,,,,,,,0,,,,,,,,,1
1750s,1741-1760,1751-1800,1759,10,Bricaire de la Dixmerie,Le livre d'airain,histoire indienne,histoire,histoire_other,0,Googlebooks,0,17,mar,,,,,,3,,0,,,,,,,,chaps,19,,,,,,,,1
1720s,1721-1740,1701-1750,1727,5,La Serre,"Hipalque, prince scithe",histoire merveilleuse,histoire,histoire_other,0,BNF Arsenal,0,15,mar,,,,,,3,,i2,y,,,,,,,0,,,,,,,,,1
1720s,1721-1740,1701-1750,1729,12,Melon,"Mahmoud, le Gasnevide",histoire orientale,histoire,histoire_other,0,Googlebooks,0,31,mar,,,,paro,,3,,0,,,,,,,,chaps t,31,,,,,,,,1
1740s,1741-1760,1701-1750,1747,28,Voltaire,Memnon,histoire orientale,histoire,histoire_other,0,Googlebooks,0,18,mar,,,,,,3,,0,,,,,,,,chaps,15,,,,,,,,1
1760s,1761-1780,1751-1800,1768,43,Mercier,Zambeddin,histoire orientale,histoire,histoire_other,0,Googlebooks,0,22,mar,,,,,,3,,0,,,,,,,,0,,,,,,,,,1
1760s,1761-1780,1751-1800,1769,36,Gautier de Montdorge,Nadir,histoire orientaleÉ ,histoire,histoire_other,0,Googlebooks,0,27,mar,,,,,,3,,0,,,,,,,,livres,9,,,,,,,,1
1760s,1761-1780,1751-1800,1769,63,Siret,L'homme au latin ou la destine des savants,histoire sans vraisemblance,histoire,histoire_other,0,Googlebooks,0,20,mar,,,,,,3,,0,,,,,,,,chaps d,17,,,,,,,,1
1750s,1741-1760,1751-1800,1759,7,Barthez,Callophile,histoire traduite,histoire,histoire_other,0,Googlebooks,0,17,mar,,,,paro,,1,obs,0,,,,,,,,chaps d,17,,,,,,,,1
1790s,1781-1800,1751-1800,1799,80,Duplessy,"Alexandrine de Chteaufort, ou la fatale alliance",histoire  franaise,histoire,histoire_other,0,BNF Tolbiac,0,69,rw,con,,nobodies,fact,"title, pref",3,,ix,y,,,,,,,parties,5,N,N,Y,N,scene,,"3,5",1
1820s,1821-1840,1801-1850,1828,75,Roger,Keldor,histoire africaine,histoire,histoire_other,0,NCCO,0,31,rw,con,,nobodies,fact based,pref,1,mem,0,,,,,,,,livres,8,,,,,,,,1
1620s,1621-1640,1601-1650,1627,2,Camus,Damaris ou l'implacable marastre,histoire allemande,histoire,histoire_other,0,BNF Arsenal,0,18,rw,uns,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,1
1790s,1781-1800,1751-1800,1798,82,Pigault-Lebrun,Les barons de Felsheim,histoire allemande qui n'est pas tire de l'allemand,histoire,histoire_other,0,Googlebooks,0,124,rw,con,,nobodies,fict,pref,3,,ix,y,,,,,,,chaps d,12,N,N,Y,Y,action,,"4,3,5",1
1660s,1661-1680,1651-1700,1668,5,Blessebois,Lupanie,histoire amoureuse de ce temps,histoire,histoire_other,0,Googlebooks,0,11,rw,con,,nobodies,fact,"sub, pref",3,,0,,,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1678,2,Anon.,Le Comte d'Essex,histoire anglaise,histoire,histoire_other,0,BNF Arsenal,0,18,rw,his,modern,somebodies,,,3,,i2,y,y,2,58,0,0,114,,,,,,,,,,1
1760s,1761-1780,1751-1800,1769,12,Arnaud,Anne Bell,histoire anglaise,histoire,histoire_other,0,Googlebooks,0,12,rw,con,,nobodies,ind,,3,,0,,,,,,,,0,,N,Y,Y,N,action,,"2,3,5",1
1760s,1761-1780,1751-1800,1769,67,Teuton,Les deux orphelins,histoire anglaise,histoire,histoire_other,0,NCCO,0,40,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,N,N,Y,N,action,,"3,5",1
1770s,1761-1780,1751-1800,1778,13,Beccary,Milord d'Ambi,histoire anglaise,histoire,histoire_other,0,BNF Arsenal,0,59,rw,con,,nobodies,fict,"mis, pref",E,E3,n/a,,,,,,,,n/a,,,,,,,,,1
1790s,1781-1800,1751-1800,1798,60,Lafont,Nrine,histoire anglaise,histoire,histoire_other,0,Googlebooks,0,49,rw,con,,nobodies,fict,"mis, pref",1,mem,0,,,,,,,,chaps t,34,,,,,,,,1
1620s,1621-1640,1601-1650,1625,9,Camus,Daphnide ou l'intgrit victorieuse,histoire aragonnoise,histoire,histoire_other,0,BNF Arsenal,0,38,rw,con,,nobodies,fact,pref,3,,,,,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1667,4,Aug d'Iffremont,Rodogune,histoire asiatique et romaine,histoire,histoire_other,0,Gallica,0,110,rw,his,classical,somebodies,,,3,,i1,n,y,0,0,1,592,790,,,,,,,,,,1
1780s,1781-1800,1751-1800,1788,24,an,Le temple de Blus,histoire babylonienne,histoire,histoire_other,0,BNF Arsenal,0,14,rw,his,classical,nobodies,fact,pref,3,,0,,,,,,,,livres,4,N,N,Y,Y,action,,"4,3,5",1
1620s,1621-1640,1601-1650,1627,4,Camus,Regule,histoire belgique,histoire,histoire_other,0,BNF Arsenal,0,45,rw,uns,,nobodies,transposed,pref,3,,0,,,,,,,,livres,6,,,,,,,,1
1620s,1621-1640,1601-1650,1625,11,Camus,Palombe ou la femme honorable,histoire catalane,histoire,histoire_other,0,BNF Arsenal,0,117,rw,uns,,nobodies,ind,,3,,i4,y,n,,,,,,,,,,,,,,,1
1620s,1621-1640,1601-1650,1627,3,Camus,L'Hiacinthe,histoire catalane,histoire,histoire_other,0,BNF Arsenal,0,44,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,,,,,,,,,,1
1690s,1681-1700,1651-1700,1698,11,An,"Le Triomphe de l'amour parfait, ou les amans vertueux et onstans",histoire chrtienne,histoire,histoire_other,0,BNF Arsenal,0,40,rw,his,biblical,somebodies,,,3,,i4,y,n,,,,,,,,,,,,,,,1
1630s,1621-1640,1601-1650,1637,1,Clairville,Le Gascon extravagant,histoire comique,histoire,histoire_other,0,Googlebooks,0,93,rw,con,,nobodies,fict,pref,1,frame,i3,y,y,,,,,,,,,,,,,,,1
1640s,1641-1660,1601-1650,1648,9,Sorel,Polyandre,histoire comique,histoire,histoire_other,0,Gallica,0,127,rw,con,,keyed nobodies,keyed,pref,3,,i4,y,y,,,,,,,,,,,,,,,1
1660s,1661-1680,1651-1700,1669,2,Anon.,La Prison sans chagrin,histoire comique,histoire,histoire_other,0,Googlebooks,0,31,rw,con,,nobodies,fact,sub,3,,i4,n,y,,,,,,,,,,,,,,,1
1650s,1641-1660,1651-1700,1658,4,Le Pays,Le Violon marquis ou le marquis violon,"histoire comique ou romanesque, si vous voulez",histoire,histoire_other,0,BNF Arsenal,0,48,rw,con,,nobodies,ind,,3,,i1,y,y,3,100,2,59,250,0,,,,,,,,,1
1820s,1821-1840,1801-1850,1828,3,Anon,La Jeune Grecque Reconnaissante,histoire contemporaine,histoire,histoire_other,0,Gallica,0,23,rw,con,,nobodies,fact,"title, sub",1,narr,0,,,,,,,,chaps d,9,,,,,,,,1
1760s,1761-1780,1751-1800,1768,5,An,Dominique et Sraphine,histoire corse,histoire,histoire_other,0,NCCO,0,11,rw,con,,nobodies,ind,,3,,0,,,,,,,,0,,N,N,Y,Y,action,,"3,5",1
1620s,1621-1640,1601-1650,1630,6,Camus,Le Voyageur inconnu,histoire curieuse et apologtique pour les religieux,histoire,histoire_other,0,Googlebooks,0,54,rw,con,,nobodies,fact,pref,1,narr,0,,,,,,,,,,,,,,,,,1
1690s,1681-1700,1651-1700,1696,16,Juvenel,Edouard,histoire d'Angleterre,histoire,histoire_other,0,Googlebooks,0,85,rw,his,modern,somebodies,,,3,,i1,y,y,,,,,,livres,4,,,,,,,,1
1790s,1781-1800,1751-1800,1798,88,Rosny,"Firmin, ou Le jouet de la fortune",histoire d'un jeune imigr,histoire,histoire_other,0,Gallica,0,35,rw,con,,nobodies,fict,mis,1,mem,ix,y,,,,,,,chaps d,22,,,,,,,,1
1820s,1821-1840,1801-1850,1828,33,"Bastide, Jenny","La Cotte Rouge, ou lÕInsurrection de 1626",histoire dauphinoise du dix-septime sicle,histoire,histoire_other,0,NCCO,0,109,rw,his,modern,nobodies,ind,,3,,0,,,,,,,,chaps q,26,N,N,N,Y,scene,,"4,5",1
1620s,1621-1640,1601-1650,1621,13,Espinay,"L'Amour parfaict, sous les chastes amours de Poldon et de Darinde",histoire de ce temps,histoire,histoire_other,0,BNF Arsenal,0,36,rw,con,,nobodies,fact,title,3,,0,,,,,,,,0,,,,,,,,,1
1620s,1621-1640,1601-1650,1623,13,Du Rosier,Les Amours de la cour et de la Pastoralle,histoire de ce temps,histoire,histoire_other,0,,0,22,rw,uns,,nobodies,fact,sub,3,,0,,,,,,,,0,,,,,,,,,1
1630s,1621-1640,1601-1650,1635,2,An,"Artmise, princesse de Carie",histoire de ce temps,histoire,histoire_other,0,Gallica,0,150,rw,his,classical,somebodies,,,3,,i1,y,y,,,,,,livres,8,,,,,,,,1
1610s,1601-1620,1601-1650,1619,6,Mandelot,"Le combat de l'amour et de la chastet. Compris sous les tragiques et morales amours de Diane, et de Venus, de la mort d'Adonis donÕt s'ensuit celle d'Endimion, le tout avec un sens mystique",histoire de ce temps.,histoire,histoire_other,0,Greiner,0,23,rw,his,myth,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,1
1790s,1781-1800,1751-1800,1799,72,Desforges,"Eugne et Eugnie, ou la mprise conjugale",histoire de deux enfants dÕune nuit dÕerreur et de leurs parents,histoire,histoire_other,0,Oron,0,212,rw,con,,nobodies,ind,,3,,ix,y,,,,,,,chaps d,?,,,,,,,,1
1660s,1661-1680,1651-1700,1669,5,Aubignac,Amelonde,histoire de notre temps,histoire,histoire_other,0,Googlebooks,0,22,rw,con,,nobodies,fact,sub,3,,i5,n,n,,,,,,,,,,,,,,,1
1620s,1621-1640,1601-1650,1625,24,Ravaud,La Galate et les adventures du prince Astiages,"histoire de notre temps o sous noms feints sont reprsents les amours du roi et de la reine d'Angleterre, avec tous les voyages qu'il a fait, tant en France qu'en Espagne",histoire,histoire_other,0,BNF Arsenal,0,72,rw,uns,,keyed nobodies,keyed,"title, key",3,,i1,y,n,,,,,,livres,3,,,,,,,,1
1680s,1681-1700,1651-1700,1688,1,An,Amitis malheureuses,histoire de sparte,histoire,histoire_other,0,BNF Arsenal,0,32,rw,his,classical,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,1
1690s,1681-1700,1651-1700,1697,16,La Force,Gustave Vasa,histoire de Sude,histoire,histoire_other,0,Googlebooks,0,60,rw,his,modern,somebodies,,,3,,i4,n,y,,,,,,,,,,,,,,,1
1800s,1801-1820,1801-1850,1808,1,An,Anas et dÕOrbeville,Histoire dÕune jeune Athnienne et dÕun consul franais,histoire,histoire_other,0,Oron,0,94,rw,con,,nobodies,ind,,1,narr,ix,y,,,,,,,chaps,?,,,,,,,,1
1670s,1661-1680,1651-1700,1672,6,An,La Mre rivale,histoire du temps,histoire,histoire_other,0,BNF Arsenal,0,19,rw,con,,nobodies,fact,sub,3,,i4,y,n,,,,,,0,,,,,,,,,1
1670s,1661-1680,1651-1700,1673,14,Prefontaine,Les Dames enleves et les dames retrouves,histoire du temps,histoire,histoire_other,0,Gallica,0,38,rw,con,,nobodies,fact,sub,3,,i1,y,n,,,,,,livres,6,,,,,,,,1
1670s,1661-1680,1651-1700,1678,10,Bremond,Le Double cocu,histoire du temps,histoire,histoire_other,0,EEBO,0,21,rw,his,modern,somebodies,,,3,,0,,,,,,,,,,,,,,,,,1
1690s,1681-1700,1651-1700,1699,1,An,"L'Amant fidle, histoire du temps, dans laquelle on remarque [É]",histoire du temps,histoire,histoire_other,0,BNF Arsenal,0,17,rw,con,,nobodies,fact,sub,3,,0,,,,,,,,0,,,,,,,,,1
1690s,1681-1700,1651-1700,1700,3b,,Le courier galant,histoire du temps,histoire,histoire_other,0,,0,13,rw,con,,nobodies,fact,sub,3,,i5,y,y,,,,,,0,,,,,,,,,1
1810s,1801-1820,1801-1850,1818,42,madame C********D.,"Alphonse dÕArvalos et Isabelle dÕOlvedo, ou les Effets dÕune guerre civile","histoire du XIVe sicle, traduite de lÕespagnol",histoire,histoire_other,0,BNF Tolbiac,0,55,rw,his,modern,nobodies,ind,,3,,0,,,,,,,,chaps,24,Y,N,Y,N,scene,,"1,3,5",1
1620s,1621-1640,1601-1650,1621,7,Camus,"Agathonphile, ou les martrys siciliens Agathon, Philargyrippe, Tryphine et leurs associs. Hitoire dvote o se dcouvre l'art de bien aimer [É]",histoire dvote [É],histoire,histoire_other,0,Googlebooks,0,220,rw,his,biblical,somebodies,,,3,,i1,y,n,,,,,,livres,12,,,,,,,,1
1740s,1741-1760,1701-1750,1747,2,An,L'Heureux Retour,histoire espagnole,histoire,histoire_other,0,Googlebooks,0,17,rw,his,vague,nobodies,ind,,3,,i4,y,,,,,,,parties,2,N,N,Y,N,action,,"3,5",1
1820s,1821-1840,1801-1850,1828,5,Anon,Sully,histoire franaise,histoire,histoire_other,0,NCCO,0,134,rw,his,modern,somebodies,,,3,,0,,,,,,,,chaps d,47,N,N,N,Y,scene,,"4,5",1
1600s,1601-1620,1601-1650,1603,10,Intras de Bazas,Le Duel de Tithamante,histoire gasconne,histoire,histoire_other,0,BNF Arsenal,0,25,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,0,,,,,,,,,1
1690s,1681-1700,1651-1700,1698,16,Frontignires,Le puits de la vrit,histoire gauloise,histoire,histoire_other,0,Googlebooks,0,18,rw,his,gallia,nobodies,fict,pref,3,,i6,n,y,,,,,,,,,,,,,,,1
1620s,1621-1640,1601-1650,1624,3,Camus,Aristandre,histoire germanique,histoire,histoire_other,0,Gallica,0,36,rw,uns,,nobodies,fact,pref,3,,0,,,,,,,,livres,2,,,,,,,,1
1660s,1661-1680,1651-1700,1668,11,Villedieu,Carmente,histoire grecque,histoire,histoire_other,0,BNF Arsenal,0,111,rw,his,classical,somebodies,,,3,,i1,y,y,11,657,0,0,1036,livres,2,,,,,,,,1
1770s,1761-1780,1751-1800,1779,21,Leroy de Lozembrune,Thagnes,histoire grecque,histoire,histoire_other,0,Googlebooks,0,12,rw,his,classical,somebodies,,,3,,0,,,,,,,,chaps,9,N,Y,N,N,action,,"2,5",1
1620s,1621-1640,1601-1650,1623,5,Camus,"Eugne, histoire grenadine, offrant un spectacle de piti et de pit",histoire grnadine,histoire,histoire_other,0,Googlebooks,0,36,rw,his,vague,keyed nobodies,keyed,post,3,,0,,,,,,,,livres,2,,,,,,,,1
1630s,1621-1640,1601-1650,1638,3,Baudoin,Lindamire,histoire indienne,histoire,histoire_other,0,Googlebooks,0,72,rw,uns,,nobodies,ind,,3,,i4,y,n,,,,,,,,,,,,,,,1
1720s,1721-1740,1701-1750,1727,4,Gomez,"Crementine, reine de Sanga",histoire indienne,histoire,histoire_other,0,Googlebooks,0,130,rw,his,modern,nobodies,fact,pref,3,,0,,,,,,,,0,,N,N,Y,Y,action,,"4,3,5",1
1810s,1801-1820,1801-1850,1818,108,Malls de Beaulieu,Le Robinson de douze ans ,histoire intressante dÕun jeune mousse abandonn dans une le dserte,histoire,histoire_other,0,Gallica,0,51,rw,con,,nobodies,fact,pref,1,mem,0,,,,,,,,chaps d,15,,,,,,,,1
1760s,1761-1780,1751-1800,1769,52,Rtif de la Bretonne,Le pied de Fanchette,histoire intressante et morale,histoire,histoire_other,0,Googlebooks,0,64,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,chaps t,49,N,N,Y,N,action,,"3,5",1
1800s,1801-1820,1801-1850,1808,49,COFFIN - RONY,Thana et Lorenzo,histoire italienne,histoire,histoire_other,0,Googlebooks,0,122,rw,con,,nobodies,fict,pref,3,,ix,y,,,,,,,chaps d,26,N,N,N,N,scene,,5,1
1720s,1721-1740,1701-1750,1728,10,La Serre,"Amosis, prince egyptien",histoire merveilleuse,histoire,histoire_other,0,Googlebooks,0,13,rw,his,classical,somebodies,,,3,,0,,,,,,,,0,,N,N,N,N,scene,,5,1
1790s,1781-1800,1751-1800,1799,161,Salverte,"Un pot sans couvercle, et rien dedans, ou les mystres du souterrain de la rue de la Lune",histoire merveilleuse et vritable,histoire,histoire_other,0,BNF Tolbiac,0,25,rw,con,,nobodies,fact iron,pref,3,,0,,,,,,,,chaps t,30,N,Y,N,N,scene,,"2,5",1
1720s,1721-1740,1701-1750,1729,11,Mac,"Melanie, ou la veuve charitable",histoire morale,histoire,histoire_other,0,Googlebooks,0,43,rw,his,biblical,somebodies,,,3,,i6,n,,,,,,,chaps d,40,Y,N,N,Y,action,,"4,1,5",1
1620s,1621-1640,1601-1650,1621,10,Camus,"Parthnice, ou peinture d'une invincible chastet",histoire napolitaine,histoire,histoire_other,0,Googlebooks,0,186,rw,uns,,nobodies,fact,post,3,,i4,y,n,,,,,,livres,13,,,,,,,,1
1820s,1821-1840,1801-1850,1828,43,de Kock,"Urbin Fosano, ou la Jettatura",histoire napolitaine,histoire,histoire_other,0,NCCO,0,176,rw,con,,nobodies,fict,pref,3,,0,,,,,,,,chaps t,33,N,N,N,N,scene,,5,1
1630s,1621-1640,1601-1650,1634,10,Humbert,le roman de l'inconnu,histoire neapolitaine,histoire,histoire_other,0,Googlebooks,0,20,rw,his,modern,somebodies,,,3,,0,,,,,,,,,,,,,,,,,1
1670s,1661-1680,1651-1700,1678,1,Anon.,Clomire,histoire nouvelle,histoire,histoire_other,0,BNF Arsenal,0,11,rw,his,gallia,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,1
1730s,1721-1740,1701-1750,1737,3,An,Les Avantures du comte de Rosmond,histoire nouvelle,histoire,histoire_other,0,Googlebooks,0,50,rw,con,,nobodies,fact equ,pref,3,,0,,,,,,,,0,,N,N,N,N,action,,5,1
